char,frequency,probability
的,508416,0.022846596314785632
国,224939,0.010108042485782441
中,220042,0.009887986897143403
一,183702,0.008254982998604981
人,162525,0.007303356043201896
在,145473,0.006537093454377538
发,142102,0.006385611447168594
业,137164,0.006163713449067804
和,130689,0.005872747564559376
大,129515,0.005819991742410666
有,128054,0.005754339054029691
新,123303,0.0055408442405471365
年,121947,0.005479909917860892
化,111144,0.004994457493097256
是,111069,0.004991087231886734
展,110771,0.004977696060676925
为,110769,0.004977606187044644
工,109502,0.004920671240994887
作,108326,0.004867825545213897
了,103052,0.0046308287768899664
生,101471,0.0045597836705721555
动,101443,0.004558525439720227
不,101277,0.004551065928240937
全,99923,0.004490221479186975
能,89989,0.004043819147649256
会,88548,0.003979065195591087
高,87739,0.003942711311333586
力,86867,0.0039035264076592467
地,84899,0.0038150907534951406
成,84654,0.003804081233540768
家,84188,0.003783140677219389
产,83407,0.003748045023813816
上,82210,0.00369425565489388
民,80911,0.003635882730727633
进,80816,0.003631613733194305
建,80712,0.003626940304315714
实,80623,0.0036229409276792275
要,79117,0.003555266082571939
合,75848,0.0034083676306093055
学,74897,0.003365632718459882
出,74878,0.0033647789189532166
公,74151,0.00333210985361922
行,73608,0.0033077091624550384
来,72954,0.0032783204846992837
长,71889,0.0032304627755098667
等,71336,0.003205612716184282
经,70669,0.0031756398598187033
文,70564,0.003170921494123972
市,70499,0.003168000601074853
以,70016,0.0031462961188790887
时,69076,0.003104055511707209
理,68279,0.0030682408692433915
主,68250,0.003066937701575323
体,67483,0.003032471163595715
多,67244,0.0030217312645381836
方,67106,0.0030155299839108225
技,66895,0.0030060483157052197
同,64868,0.002914961389388836
我,64377,0.0028928974126639496
区,63291,0.0028440960303355864
对,63290,0.002844051093519446
重,62148,0.002792733249487226
平,61980,0.002785183864375656
到,61843,0.002779027520564435
现,61421,0.0027600641841532296
部,61277,0.0027535932826290264
开,61201,0.002750178084602364
加,60628,0.002724429288953973
用,60393,0.0027138691371610033
务,59822,0.0026882102151448936
个,59802,0.0026873114788220874
设,58988,0.002650732910483885
机,58739,0.0026395436432649507
与,58490,0.0026283543760460167
提,56297,0.0025298079382503435
关,55880,0.0025110692859198393
推,54889,0.0024665369011248046
制,52823,0.0023736974389789492
政,52698,0.002368080336961412
这,52499,0.002359137910549493
心,51783,0.0023269631501930395
共,51167,0.002299282071450616
级,50548,0.0022714661822597717
强,50398,0.002264725659838727
科,50348,0.0022624788190317123
保,50279,0.0022593781787180315
持,50019,0.0022476946065215545
更,49905,0.0022425718094815604
法,49803,0.00223798825423525
代,49748,0.0022355167293475336
创,49166,0.0022093635023538805
自,49006,0.0022021736117714325
日,48433,0.002176424816123042
电,47466,0.002132970914915374
程,47220,0.0021219164581448608
们,47160,0.002119220249176443
面,47007,0.0021123449163069773
量,47004,0.0021122101058585565
通,46850,0.0021052898361729505
定,46834,0.0021045708471147057
场,46640,0.0020958531047834883
好,45941,0.00206444227030142
过,44919,0.0020185168442060355
司,43869,0.001971333187258723
员,43773,0.0019670192529092543
师,43699,0.0019636939285148725
者,43443,0.0019521901035829561
入,42591,0.0019139039362314225
记,42539,0.001911567221792127
水,42442,0.0019072083506265181
本,41938,0.001884560195291808
品,41706,0.001874134853947259
分,41634,0.0018708994031851574
党,41200,0.0018513968249802683
安,40964,0.0018407917363711579
资,40939,0.0018396683159676505
度,40794,0.0018331524776273073
下,40623,0.0018254682820673163
于,40596,0.0018242549880315283
前,40588,0.0018238954935024061
性,40559,0.0018225923258343374
事,40220,0.0018073587451627763
系,40129,0.0018032694948940094
就,39743,0.0017859238838638543
术,39522,0.0017759928474968486
社,38975,0.0017514124090681057
深,38709,0.0017394592159747865
总,38657,0.001737122501535491
海,38379,0.0017246300666484882
近,38371,0.0017242705721193657
研,38169,0.0017151933352590257
村,37781,0.0016977578505965902
治,37593,0.0016893097291622143
月,37379,0.0016796932505081905
济,37226,0.0016728179176387248
着,36672,0.001647922921497
服,36359,0.0016338576980450866
企,36357,0.0016337678244128062
增,36206,0.0016269823651756212
基,35892,0.0016128722049075677
质,35822,0.0016097266277777468
可,35533,0.0015967398879132007
活,34743,0.0015612398031623655
物,34678,0.0015583189101132462
从,34243,0.0015387713950922167
数,33953,0.0015257397184115303
小,33717,0.00151513462980242
正,33706,0.0015146403248248767
应,33579,0.001508933349175059
任,33440,0.0015026871317315575
将,33290,0.0014959466093105128
表,33020,0.0014838136689526325
书,32966,0.0014813870808810564
点,32949,0.0014806231550066713
间,32782,0.0014731187067112417
式,32744,0.0014714111076979102
外,32401,0.0014559977797617882
统,32277,0.0014504256145603913
院,32262,0.0014497515623182868
里,32190,0.0014465161115561854
目,32185,0.0014462914274754838
明,32133,0.0014439547130361884
农,32003,0.0014381129269379496
造,31939,0.0014352369707049705
规,31827,0.0014302040472972573
之,31814,0.0014296198686874334
源,31766,0.0014274629015126991
也,31724,0.0014255755552348066
项,31705,0.001424721755728141
运,31652,0.001422340104472705
利,31508,0.0014158692029485021
限,31507,0.001415824266132362
路,31468,0.0014140717303028902
向,31280,0.0014056236088685144
战,31141,0.0013993773914250129
内,31122,0.0013985235919183473
领,30981,0.0013921875008425654
子,30967,0.0013915583854166012
说,30952,0.0013908843331744967
天,30792,0.001383694442592049
得,30756,0.0013820767172109984
后,30718,0.001380369118197667
教,30672,0.0013783020246552133
当,30470,0.0013692247877948732
金,30439,0.0013678317464945239
各,30227,0.0013583051414727807
交,30119,0.0013534519653296286
管,30110,0.0013530475339843659
车,30077,0.001351564619051736
