files_cumulative,unique_chars,total_chars,entropy_bits,zipf_slope,zipf_r2
10,1005,9392,8.732211306909507,-1.1484111923302727,0.9100433372052715
20,1371,21878,9.005364875891,-1.28975390672199,0.8795549916111887
30,2036,43744,9.299360061065988,-1.4290444834551246,0.8904054156419176
40,2100,62834,9.285059878541437,-1.4884797857035363,0.8824563292787573
50,2183,69763,9.332483287913965,-1.5096914282160796,0.8792069049863716
60,2327,82609,9.359063302954173,-1.5552935981928047,0.8785092044870139
70,2394,91020,9.410092153863626,-1.5652685418701777,0.8761842808169302
80,2456,102734,9.425171904344005,-1.5957397260794386,0.8724330630517523
90,2534,112740,9.448806276255196,-1.6161467978624513,0.870795527073993
100,2606,119358,9.47970750395015,-1.627859808619167,0.8691528161288099
110,2668,129809,9.507683198301033,-1.6441164453396302,0.8674188919524546
120,2718,136262,9.52661696408483,-1.6556063812630144,0.8661868117061674
130,2770,150864,9.530327478232886,-1.6751468147936943,0.8646277444946783
140,2850,167345,9.540959508992175,-1.7015997288895088,0.863900922038688
150,2876,175881,9.544263025490409,-1.7138295944637438,0.8627468760652531
160,2893,188378,9.545988587145843,-1.7218796869257376,0.8614864354873458
170,2924,197108,9.559177510789258,-1.7311268552867174,0.8598747714603463
180,2937,207190,9.549594135686696,-1.7424346992403756,0.8595652912551822
190,2948,211751,9.553370658595222,-1.7485336329187866,0.8589594877642408
200,3010,226554,9.57479591874105,-1.763296655111419,0.8579506261110049
210,3047,234015,9.585713517372618,-1.77189992945327,0.8573050441294287
220,3067,242948,9.592989778429386,-1.779228769511839,0.8559952712228494
230,3141,255788,9.60056669894613,-1.7906067053000412,0.8567192401790723
240,3153,263701,9.600463237701424,-1.7986324879658242,0.8566878572613864
250,3158,269290,9.596796680066193,-1.8032181608148783,0.8560391332715596
260,3174,275612,9.60535323741674,-1.8043046313675424,0.8551933487493486
270,3213,291736,9.600867895395172,-1.8236425682606454,0.8550187677131542
280,3236,301978,9.598568768759089,-1.8360966742797429,0.8548903886935435
290,3249,310290,9.597852661912807,-1.841728041611972,0.8545492333537991
300,3277,317702,9.604395740384408,-1.8452523404638743,0.8544648420514304
310,3332,329620,9.610557361897765,-1.8558263164694049,0.8552134708188954
320,3350,339401,9.61069264123133,-1.8626319442642403,0.8555816106345929
330,3357,348911,9.610446714858913,-1.8663692187999656,0.8547472795711796
340,3376,358719,9.609813179553473,-1.8728683339686945,0.854700739441954
350,3389,366603,9.614834453966404,-1.874920742297839,0.8541580501012415
360,3398,379039,9.615480400133539,-1.882046978173319,0.8535914378994462
370,3405,386116,9.614878491157961,-1.8870762544080877,0.8535465279979517
380,3416,390817,9.617531317314288,-1.88854866343765,0.8538295302559087
390,3422,398864,9.620075309933066,-1.8895948731104106,0.8532065894970955
400,3436,407036,9.625704676308528,-1.8942759665309306,0.8522910069815292
410,3447,419382,9.625056869143572,-1.8999887472694539,0.8519810281619833
420,3480,432052,9.629264226211761,-1.9060535663773954,0.8522944202512446
430,3486,438098,9.627617844465329,-1.9106614572432206,0.8523179466553896
440,3495,447591,9.627691020067024,-1.9131252780740031,0.851976661569802
450,3509,453450,9.629170314054777,-1.916863989071918,0.8519125975030504
460,3517,459483,9.632247757761625,-1.917473219922317,0.851934007711556
470,3532,466509,9.63479371997932,-1.9213702180796222,0.8519299531399427
480,3561,486795,9.634025524335526,-1.9316761542138903,0.8516657192336046
490,3578,493902,9.636799735452568,-1.9375539805200643,0.8515998333883656
500,3591,499840,9.640007340495128,-1.9394100651923394,0.8516270057999702
510,3601,509320,9.640736736787433,-1.9443685728852602,0.8509401144238036
520,3620,520129,9.641071302890882,-1.9498246067865461,0.8510951722582027
530,3626,532442,9.641973638065329,-1.955785706344555,0.850880653327726
540,3628,541266,9.637396676193035,-1.9598156790516659,0.8510372036082048
550,3632,545748,9.637459346500187,-1.960670322166726,0.8509377463495303
560,3634,555291,9.639789024622184,-1.9626975144451002,0.850082694290908
570,3649,563917,9.642523674667931,-1.9647499032738376,0.8502049505725815
580,3655,573113,9.641449889322846,-1.9687396891950124,0.8504458418723998
590,3662,585297,9.636461118076042,-1.9730372320710443,0.8508667146529224
600,3667,594199,9.637241244069205,-1.9775999069342995,0.8506943894652513
610,3672,599929,9.63934019075215,-1.9789345235397584,0.8504064809840907
620,3682,636327,9.626462127940897,-1.9956810616357565,0.850113658984302
630,3730,646501,9.63227094876448,-1.998882382390715,0.8516661128379974
640,3756,660560,9.63470092964846,-2.0035237512122275,0.852117620689369
650,3759,671538,9.63418753872511,-2.0073783024418734,0.8516498290433014
660,3767,684204,9.634675410457923,-2.009584729072148,0.8517892306225762
670,3770,690462,9.635871408367896,-2.011039704615043,0.8514639838510825
680,3775,700373,9.637670419700358,-2.0131003187324867,0.8510826792629936
690,3788,712333,9.635433279869623,-2.0186728459404386,0.8510093733638349
700,3794,721447,9.636142464373735,-2.0198379042094445,0.8511352631084623
