rank,char,frequency
1,的,508416
2,国,224939
3,中,220042
4,一,183702
5,人,162525
6,在,145473
7,发,142102
8,业,137164
9,和,130689
10,大,129515
11,有,128054
12,新,123303
13,年,121947
14,化,111144
15,是,111069
16,展,110771
17,为,110769
18,工,109502
19,作,108326
20,了,103052
21,生,101471
22,动,101443
23,不,101277
24,全,99923
25,能,89989
26,会,88548
27,高,87739
28,力,86867
29,地,84899
30,成,84654
31,家,84188
32,产,83407
33,上,82210
34,民,80911
35,进,80816
36,建,80712
37,实,80623
38,要,79117
39,合,75848
40,学,74897
41,出,74878
42,公,74151
43,行,73608
44,来,72954
45,长,71889
46,等,71336
47,经,70669
48,文,70564
49,市,70499
50,以,70016
51,时,69076
52,理,68279
53,主,68250
54,体,67483
55,多,67244
56,方,67106
57,技,66895
58,同,64868
59,我,64377
60,区,63291
61,对,63290
62,重,62148
63,平,61980
64,到,61843
65,现,61421
66,部,61277
67,开,61201
68,加,60628
69,用,60393
70,务,59822
71,个,59802
72,设,58988
73,机,58739
74,与,58490
75,提,56297
76,关,55880
77,推,54889
78,制,52823
79,政,52698
80,这,52499
81,心,51783
82,共,51167
83,级,50548
84,强,50398
85,科,50348
86,保,50279
87,持,50019
88,更,49905
89,法,49803
90,代,49748
91,创,49166
92,自,49006
93,日,48433
94,电,47466
95,程,47220
96,们,47160
97,面,47007
98,量,47004
99,通,46850
100,定,46834
101,场,46640
102,好,45941
103,过,44919
104,司,43869
105,员,43773
106,师,43699
107,者,43443
108,入,42591
109,记,42539
110,水,42442
111,本,41938
112,品,41706
113,分,41634
114,党,41200
115,安,40964
116,资,40939
117,度,40794
118,下,40623
119,于,40596
120,前,40588
121,性,40559
122,事,40220
123,系,40129
124,就,39743
125,术,39522
126,社,38975
127,深,38709
128,总,38657
129,海,38379
130,近,38371
131,研,38169
132,村,37781
133,治,37593
134,月,37379
135,济,37226
136,着,36672
137,服,36359
138,企,36357
139,增,36206
140,基,35892
141,质,35822
142,可,35533
143,活,34743
144,物,34678
145,从,34243
146,数,33953
147,小,33717
148,正,33706
149,应,33579
150,任,33440
151,将,33290
152,表,33020
153,书,32966
154,点,32949
155,间,32782
156,式,32744
157,外,32401
158,统,32277
159,院,32262
160,里,32190
161,目,32185
162,明,32133
163,农,32003
164,造,31939
165,规,31827
166,之,31814
167,源,31766
168,也,31724
169,项,31705
170,运,31652
171,利,31508
172,限,31507
173,路,31468
174,向,31280
175,战,31141
176,内,31122
177,领,30981
178,子,30967
179,说,30952
180,天,30792
181,得,30756
182,后,30718
183,教,30672
184,当,30470
185,金,30439
186,各,30227
187,交,30119
188,管,30110
189,车,30077
190,万,30048
191,西,29991
192,信,29927
193,城,29794
194,习,29652
195,护,29444
196,支,29389
197,南,29325
198,山,29141
199,道,28671
200,期,28632
201,流,28588
202,立,28369
203,育,28212
204,次,28195
205,特,28157
206,集,28034
207,题,27845
208,相,27673
209,传,27581
210,北,27219
211,续,27218
212,组,27193
213,第,26624
214,坚,26567
215,台,26494
216,色,26469
217,升,26453
218,团,26387
219,美,26298
220,起,26293
221,态,26283
222,委,26003
223,风,25873
224,效,25754
225,智,25613
226,局,25520
227,联,25444
228,他,25438
229,精,25341
230,域,25277
231,改,25251
232,际,25223
233,施,25211
234,门,25200
235,种,25167
236,调,25079
237,供,25030
238,元,24908
239,解,24863
240,华,24597
241,费,24474
242,如,24468
243,导,24327
244,优,24134
245,江,24034
246,三,24001
247,求,23984
248,广,23748
249,问,23702
250,老,23596
251,专,23581
252,最,23465
253,步,23430
254,计,23419
255,省,23208
256,示,23132
257,报,23065
258,东,23038
259,位,23027
260,世,23004
261,放,23000
262,营,22973
263,两,22847
264,环,22810
265,意,22810
266,还,22799
267,需,22754
268,球,22681
269,融,22614
270,都,22565
271,游,22456
272,手,22323
273,商,22208
274,境,22186
275,让,22131
276,界,21976
277,队,21969
278,及,21912
279,构,21901
280,众,21898
281,责,21890
282,消,21884
283,比,21802
284,带,21619
285,其,21604
286,所,21428
287,标,21353
288,义,21309
289,口,21286
290,打,21274
291,群,21096
292,情,21081
293,十,21052
294,办,21005
295,医,20893
296,究,20705
297,线,20648
298,引,20609
299,据,20415
300,议,20375
301,今,20355
302,完,20269
303,形,20159
304,型,20157
305,结,20145
306,变,20018
307,名,19978
308,接,19942
309,策,19826
310,网,19801
311,收,19760
312,快,19659
313,看,19657
314,指,19561
315,协,19523
316,二,19362
317,转,19344
318,助,19290
319,越,19278
320,而,19192
321,感,19087
322,节,19048
323,处,18957
324,准,18872
325,乡,18747
326,京,18725
327,果,18724
328,气,18682
329,干,18340
330,验,18247
331,达,18232
332,决,18221
333,常,18185
334,模,18098
335,州,18060
336,投,18052
337,条,17976
338,边,17908
339,观,17880
340,历,17870
341,件,17793
342,县,17776
343,河,17762
344,断,17758
345,类,17421
346,把,17318
347,并,17260
348,走,17255
349,族,17176
350,空,17102
351,青,17089
352,织,17038
353,监,17007
354,首,17004
355,单,17003
356,旅,16896
357,张,16860
358,参,16828
359,四,16769
